                                     | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7     
    miss rate                        |       0.61% |       0.46% |       0.51% |       0.57% |       0.44% |       0.56% |       0.36% |       0.40%
    mpki                             |        0.47 |        0.36 |        0.41 |        0.47 |        0.37 |        0.48 |        0.31 |        0.27
  Cache L1-D                         |             |             |             |             |             |             |             |            
    num cache accesses               |  1575156260 |  1566536955 |  1548223866 |  1540653753 |  1532482898 |  1519321004 |  1527102620 |  1304795662
    num cache misses                 |    87429377 |    86544611 |    86962136 |    87019523 |    86739872 |    87001805 |    85099164 |    65475855
    miss rate                        |       5.55% |       5.52% |       5.62% |       5.65% |       5.66% |       5.73% |       5.57% |       5.02%
    mpki                             |       19.25 |       19.34 |       20.07 |       20.47 |       20.76 |       21.38 |       20.96 |       17.12
  Cache L2                           |             |             |             |             |             |             |             |            
    num cache accesses               |    89558947 |    88160127 |    88749230 |    89036417 |    88289490 |    88971881 |    86362512 |    66523799
    num cache misses                 |    32770939 |    30392697 |    30541466 |    30453460 |    29686889 |    30377053 |    22283227 |    16324993
    miss rate                        |      36.59% |      34.47% |      34.41% |      34.20% |      33.62% |      34.14% |      25.80% |      24.54%
    mpki                             |        7.22 |        6.79 |        7.05 |        7.16 |        7.11 |        7.47 |        5.49 |        4.27
  Cache L3                           |             |             |             |             |             |             |             |            
    num cache accesses               |    32775145 |    30396439 |    30552976 |    30469156 |    29704620 |    30396212 |    22299118 |    16329433
    num cache misses                 |       25400 |       12877 |       12803 |       12850 |       12855 |       12822 |       12861 |       11616
    miss rate                        |       0.08% |       0.04% |       0.04% |       0.04% |       0.04% |       0.04% |       0.06% |       0.07%
    mpki                             |        0.01 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
DRAM summary                         |             |             |             |             |             |             |             |            
  num dram accesses                  |      114077 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  average dram access latency (ns)   |    57890.71 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  average dram queueing delay        |    57837.28 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  average dram bandwidth utilization |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
Coherency Traffic                    |             |             |             |             |             |             |             |            
  num loads from dram                |        6227 |        1201 |        1191 |        1193 |        1185 |        1186 |        1201 |        1196
  num loads from dram cache          |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from remote cache        |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
