                                     | Core 0       | Core 1       | Core 2       | Core 3       | Core 4       | Core 5       | Core 6       | Core 7      
    miss rate                        |        3.24% |        2.10% |        2.13% |        2.34% |        2.45% |        2.24% |        2.31% |        2.53%
    mpki                             |        10.87 |         7.05 |         7.15 |         7.94 |         8.24 |         7.55 |         7.79 |         8.54
  Cache L2                           |              |              |              |              |              |              |              |             
    num cache accesses               |    189276330 |    120637001 |    122105481 |    130389026 |    138262969 |    125793428 |    131146370 |    142101259
    num cache misses                 |     71127320 |     54704426 |     53982177 |     58862307 |     64048440 |     55945609 |     63469842 |     66901210
    miss rate                        |       37.58% |       45.35% |       44.21% |       45.14% |       46.32% |       44.47% |       48.40% |       47.08%
    mpki                             |         4.12 |         3.23 |         3.20 |         3.63 |         3.89 |         3.41 |         3.82 |         4.10
  Cache L3                           |              |              |              |              |              |              |              |             
    num cache accesses               |     72287093 |     55116486 |     54869563 |     59880623 |     65885610 |     57308119 |     64740228 |     68808113
    num cache misses                 |     21634358 |     20356351 |     20814220 |     20669244 |     22933833 |     22153238 |     21969817 |     23027499
    miss rate                        |       29.93% |       36.93% |       37.93% |       34.52% |       34.81% |       38.66% |       33.94% |       33.47%
    mpki                             |         1.25 |         1.20 |         1.23 |         1.27 |         1.39 |         1.35 |         1.32 |         1.41
DRAM summary                         |              |              |              |              |              |              |              |             
  num dram accesses                  |    132556942 |            0 |            0 |            0 |    132548631 |            0 |            0 |            0
  average dram access latency (ns)   |        55.85 |          inf |          inf |          inf |        56.58 |          inf |          inf |          inf
  average dram queueing delay        |         2.42 |         0.00 |         0.00 |         0.00 |         3.15 |         0.00 |         0.00 |         0.00
  average dram bandwidth utilization |       18.00% |        0.00% |        0.00% |        0.00% |       18.00% |        0.00% |        0.00% |        0.00%
Coherency Traffic                    |              |              |              |              |              |              |              |             
  num loads from dram                |     12541996 |     11035670 |     12266314 |     12325486 |     14745139 |     13579800 |     13313465 |     15001161
  num loads from dram cache          |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0
  num loads from remote cache        |          708 |          486 |          654 |          516 |          816 |          852 |          803 |          531
